batiment_construction_id,geom_batiment_construction,reelle_geom_batiment_construction,cle_interop_adr
bdnb-bc-1111-9316-BDP6,"MULTIPOLYGON(((5.052621012634501 45.3432799142906,5.052770971294004 45.343328507323264,5.052728785189722 45.343396837099206,5.052575030252291 45.343349214361986,5.052621012634501 45.3432799142906)))",t,{38034_1008_00199}
bdnb-bc-1112-JRXD-9CKM,"MULTIPOLYGON(((5.945619875734456 45.366263831904966,5.945507038510929 45.366305546643254,5.945472467759502 45.36628032490228,5.945466275772293 45.36628409209636,5.94544769980564 45.36629539367661,5.94549877964297 45.366342708012255,5.945674156047382 45.36627501893567,5.945657503985251 45.3662502269078,5.945619875734456 45.366263831904966)))",t,{38511_0250_00058}
bdnb-bc-1115-BJGL-HY7G,"MULTIPOLYGON(((5.482819584685953 45.29631709238345,5.482731847354202 45.296353273604886,5.482728396220235 45.29635501047508,5.482736399999998 45.29636419999999,5.482794099999999 45.29642969999998,5.482794169508616 45.29642967148364,5.482793954147468 45.29642937081778,5.482801484814948 45.29642650099529,5.482801599211154 45.296426623400556,5.482801899999999 45.296426499999995,5.4828537 45.29640439999998,5.482904299999999 45.29638299999997,5.482881299999999 45.29636539999997,5.4828722 45.29635819999996,5.482864285554413 45.29635201920027,5.482846050546077 45.29633812603979,5.482820857825656 45.29631810420758,5.482819699999998 45.29631719999997,5.482819636654993 45.296317133685676,5.482819584685953 45.29631709238345)))",t,{38517_0345_00007}
bdnb-bc-1115-G2VY-62YG,"MULTIPOLYGON(((5.692160309512485 45.0686633717472,5.692265202270854 45.06862389897051,5.692165615651151 45.06848306054315,5.692056523712679 45.06851452648584,5.692160309512485 45.0686633717472)))",t,{38545_0134_01235}
bdnb-bc-1118-GN22-WX4E,"MULTIPOLYGON(((5.560710700121421 45.63499081180973,5.560631837752803 45.63489620446235,5.560625915354626 45.63487922111386,5.5606725508806 45.63486014071192,5.560764825121439 45.634967056152455,5.560710700121421 45.63499081180973)))",t,{38022_0280_00016}
bdnb-bc-111D-RG76-V7GK,"MULTIPOLYGON(((5.415711883640678 45.176760432264366,5.415706728474433 45.176788469775545,5.415757821866961 45.176791868044155,5.415793606716567 45.17679469681502,5.415817421491115 45.176668064227634,5.415699731716774 45.17665619826693,5.415685837632792 45.176717755873945,5.415719116441131 45.176721539746055,5.415711883640678 45.176760432264366)))",t,"{38117_0153_02822,38117_0153_02824}"
bdnb-bc-111F-RNPJ-CR7A,"MULTIPOLYGON(((6.083225101483762 45.09160930857431,6.083216419189575 45.09168253658756,6.083370852509543 45.09169177916599,6.083378810301647 45.09162848310249,6.083331566432276 45.09162528510457,6.083332340364298 45.0916162528531,6.083225101483762 45.09160930857431)))",t,{38191_0005_00911}
bdnb-bc-111M-2X3Q-YQ9T,"MULTIPOLYGON(((6.026931494500776 45.12425841909223,6.02710756204702 45.12428968112538,6.027152817852088 45.12423356739551,6.027152399999998 45.12423349999998,6.027050599999999 45.1242173,6.027050303478069 45.12421721835505,6.027050185740382 45.12421735164509,6.027031109693112 45.124211933496916,6.0269776 45.12419719999999,6.026963492507109 45.124215827974524,6.026931494500776 45.12425841909223)))",t,{38005_0014_00050}
bdnb-bc-111M-LA31-XKAQ,"MULTIPOLYGON(((5.651359096102933 45.066348348560744,5.651381057379187 45.066328906923296,5.651463488261902 45.06637829590681,5.651424431780596 45.06641255888318,5.651518717919364 45.066470674606954,5.651453975893071 45.06652626971237,5.651436998789895 45.0665167639632,5.651396396831466 45.066491604412924,5.65134144282169 45.06645867839656,5.651406312845498 45.06640578300698,5.651339546519981 45.06636503009057,5.651359096102933 45.066348348560744)))",t,{38436_0065_00045}
bdnb-bc-111N-PGR8-VRRR,"MULTIPOLYGON(((5.304556741717076 45.64371565179111,5.304421625967703 45.64370940984319,5.304431311747298 45.643633538880295,5.304455768363762 45.64363483983271,5.304461866576049 45.6435653483795,5.30457003382154 45.64357214210737,5.304556741717076 45.64371565179111)))",t,{38455_0235_00340}
bdnb-bc-111P-RH8M-ZEBM,"MULTIPOLYGON(((5.935429428284345 45.252105591963705,5.935358800483105 45.252120963134736,5.935370413040801 45.25214768963773,5.935440993493377 45.25213141865188,5.935429428284345 45.252105591963705)))",t,{NULL}
bdnb-bc-111R-179D-YS54,"MULTIPOLYGON(((5.155038074482238 45.079409793454545,5.154922448496406 45.079444455977445,5.154898159984418 45.07940799582211,5.154754793725689 45.07944859903278,5.154700684692663 45.079364076149815,5.154848889526028 45.07931707432743,5.154854283101542 45.07932507658031,5.154961154998864 45.07929418635007,5.155038074482238 45.079409793454545)))",t,{38410_0475_00040}
