Numéro de l'installation sportive;Nom de l'installation sportive;Numéro, type et nom de la voie;Code postal;Commune Ancienne;Code INSEE Ancien;Longitude (WGS84);Latitude (WGS84);Statut de la fiche d'enquête;Etat de la fiche d'enquête;Date de création de la fiche d'enquête;Date de changement d'état de la fiche d'enquête;Date de validation de la fiche d'enquête;Accessibilité de l'installation en faveur des personnes en situation de handicap;Date de l'enquête;Accessibilité de l'installation en transport en commun;Installation particulière;Type de particularité de l'installation;Accessibilité de l'installation en fonction du type handicap;Accessibilité de l'installation en transport en commun des différents mode;SIRET Installation;Unité Administrative Immatriculée (UAI) Installation;Numéro de l'équipement sportif;Nom de l'équipement sportif;Code du type d'équipement sportif;Type d'équipement sportif;Famille d'équipement sportif;Etat de la fiche d'enquête de l'équipement sportif;;;Eclairage de l'aire d'évolution;Equipement d'accès libre;Aménagements de confort;Arrêté d'ouverture au public;Locaux complémentaires;Ouverture exclusivement saisonnière;Présence de douches;Présence de sanitaires;Gestion en DSP;Accessibilité aux personnes à mobilité réduite à l'accueil;Accessibilité aux personnes à mobilité réduite à l'aire de jeu;Accessibilité aux personnes à mobilité réduite aux cheminements;Accessibilité aux personnes à mobilité réduite aux douches;Accessibilité aux personnes à mobilité réduite aux sanitaires;Accessibilité aux personnes à mobilité réduite aux tribunes;Accessibilité aux personnes à mobilité réduite aux vestiaires;Accessibilité aux personnes en situation de handicap sensoriel à l'aire de jeu;Accessibilité aux personnes en situation de handicap sensoriel aux cheminements;Accessibilité aux personnes en situation de handicap sensoriel aux sanitaires;Accessibilité aux personnes en situation de handicap sensoriel - signalétique;Accessibilité aux personnes en situation de handicap sensoriel aux tribunes;Accessibilité aux personnes en situation de handicap sensoriel aux vestiaires;Date de l'homologation préfectorale;Date des derniers gros travaux;Catégorie ERP de l'établissement;Hauteur de l'aire d'évolution;Largeur de l'aire d'évolution;Longueur de l'aire d'évolution;Surface de l'aire d'évolution;Nombre de couloirs/pistes/postes/jeux/pas;Nombre de places assises en tribune;Nombre de vestiaires arbitres/enseignants;Nombre de vestiaires sportifs;SAE: nombre de couloirs de la structure;SAE: hauteur maximale de la structure;SAE: surface totale de la structure;Longueur du bassin;Largeur du bassin;Surface du bassin;Profondeur minimale du bassin;Profondeur maximale du bassin;Longueur de la piste;Adresse internet de l'équipement;Année de mise en service;Nom du propriétaire;Types d'aménagements de confort;Type d'ERP de l'établissement;Types de locaux complémentaires;Motifs des derniers gros travaux;Types de chauffage - source d'énergie;Type d'utilisation;Type de pas de tir;Nature du sol;Nature de l'équipement sportif;Période de mise en service;Période de l'homologation préfectorale;Période des derniers gros travaux;Type de déclaration;Type de propriétaire;Type de propriétaire secondaire;Type de gestionnaire;Type du co-gestionnaire;Equipement inscrit au PDESI / PDIPR;code_aps;Atlas;Coordonnées;Commune INSEE;Commune Nom;EPCI INSEE;EPCI Nom;Département Code;Département Nom;Région Code;Région Nom;Département Code Complet;Réctorat Nom
I313510003;Salle des fêtes/polyvalente;chemin dr Cantegril;31700;Mondonville;31351;1.27968;43.66994;True;Validé;38568;44061;44061;true;44061;false;false;;"{""Handicap moteur""}";;;;E001I313510003;Salle des fêtes;2201;Salles polyvalentes / des fêtes / non spécialisées;Salle non spécialisée;validé;;;true;false;false;false;true;false;false;true;false;;true;false;;false;;false;false;false;false;false;;false;;;;5.0;18.0;30.0;540.0;;0.0;0.0;2.0;;;;;;;;;;;2001;;;{};"{""Local de rangement""}";;{Gaz};Clubs sportifs, comités, ligues, fédérations;;Synthétique (hors gazon);Intérieur;1995-2004;;;;Commune;;Commune;;;"{""8901"",""2402"",""4301"",""8201""}";Salles de pratiques collectives;43.66994, 1.27968;31351;Mondonville;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I313520001;SALLE POLYVALENTE;48 CHEMIN DE LA TUILERIE;31850;Mondouzil;31352;1.55615;43.63391;True;Validé;38568;43798;43798;true;43379;true;false;;"{""Handicap moteur""}";{Bus};;;E002I313520001;SALLE DES FETES;2201;Salles polyvalentes / des fêtes / non spécialisées;Salle non spécialisée;validé;;;true;false;false;true;true;false;false;true;false;true;true;true;;true;false;false;false;true;true;true;false;false;;2018;3.0;4.0;8.0;23.0;184.0;;0.0;0.0;0.0;;;;;;;;;;http://www.mairie-mondouzil.fr/culture-sport-loisirs;1990;;;{L};"{""Local de rangement""}";"{""Inadaptation aux attentes des usagers"",""Vétusté normale""}";{Electricité};Individuel(s), famille(s),Clubs sportifs, comités, ligues, fédérations,Autre - association(s) et groupes divers;;Parquet;Intérieur;1985-1994;;;;Commune;;Commune;;;"{""2402"",""3501"",""7801""}";Salles de pratiques collectives;43.63391, 1.55615;31352;Mondouzil;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I313550003;Salle des fêtes;Place de la mairie;31280;Mons;31355;1.57482;43.61074;True;Validé;38568;43749;43749;true;43773;false;false;;"{""Handicap moteur""}";;;;E001I313550003;Salle des fêtes;2201;Salles polyvalentes / des fêtes / non spécialisées;Salle non spécialisée;validé;;;true;false;false;true;true;false;true;true;false;;true;false;false;false;;;false;false;false;false;;;;;4.0;;10.0;15.0;150.0;;0.0;0.0;0.0;;;;;;;;;;;1981;;;{L};"{""Local de rangement""}";;{Electricité};Clubs sportifs, comités, ligues, fédérations;;Carrelage;Intérieur;1975-1984;;;;Commune;;Commune;;;"{""2402""}";Salles de pratiques collectives;43.61074, 1.57482;31355;Mons;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I313890005;Salle polyvalente;Allée Antoine Candella;31850;Montrabé;31389;1.5271;43.64507;True;Attribué;38568;44057;42186;true;42180;false;false;;"{""Handicap moteur""}";{Bus};;;E001I313890005;Salle polyvalente;2201;Salles polyvalentes / des fêtes / non spécialisées;Salle non spécialisée;validé;;;true;false;false;;true;false;true;true;;false;true;true;true;true;;true;false;false;true;false;;false;;2010;3.0;7.0;20.0;36.0;756.0;0.0;0.0;1.0;2.0;;;;;;;;;;;1986;;{};{L,X};"{Reception/accueil,Buvette,""Local de rangement""}";{};{Fuel};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;{};Béton;Intérieur;1985-1994;;A partir de 2005;;Commune;;Commune;;;"{""1101"",""3701"",""7901"",""8801""}";Salles de pratiques collectives;43.64507, 1.5271;31389;Montrabé;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I313890009;Centre Socio Culturel St Exupery;allée de la gare;31850;Montrabé;31389;1.52422;43.64441;True;Attribué;38568;44057;42187;true;42180;false;false;;"{""Handicap moteur""}";{Bus};;;E001I313890009;Salle de danse;2105;Salle de danse;Salle ou terrain spécialisé;validé;;;true;false;false;;false;false;false;false;false;;true;true;;false;;;false;false;false;false;;;;;;3.0;8.0;10.0;80.0;0.0;0.0;0.0;0.0;;;;;;;;;;;1981;;{};{};{};{};{Gaz,Solaire};Autre - association(s) et groupes divers;{};Parquet;Intérieur;1975-1984;;;;Commune;;Commune;;;"{""2402"",""3404""}";Salles de pratiques collectives;43.64441, 1.52422;31389;Montrabé;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I313890009;Centre Socio Culturel St Exupery;allée de la gare;31850;Montrabé;31389;1.52422;43.64441;True;Attribué;38568;44057;42187;true;42180;false;false;;"{""Handicap moteur""}";{Bus};;;E002I313890009;Centre Socio Culturel St Exupery;801;Salle de cours collectifs;Equipement d'activités de forme et de santé;validé;;;true;false;false;;false;false;false;true;false;;true;true;;false;;;false;false;false;false;;;;;5.0;3.7;11.9;13.3;147.2;0.0;0.0;0.0;0.0;;;;;;;;;;;2004;;{};{L,R};{};{};{Gaz,Solaire};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;{};;Intérieur;1995-2004;;;;Commune;;Commune;;;"{""3501""}";Salles de pratiques collectives;43.64441, 1.52422;31389;Montrabé;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I314170002;Complexe sportif de la Castanette;Bd des écoles;31820;Pibrac;31417;1.27948;43.61801;True;Attribué;38568;44057;42212;true;42208;false;true;Complexe sportif;"{""Handicap moteur""}";{Bus};;;E001I314170002;GYMNASE;2201;Salles polyvalentes / des fêtes / non spécialisées;Salle non spécialisée;validé;;;true;false;false;;true;false;true;true;false;;true;;;false;;false;false;;false;;;false;;;3.0;3.0;14.0;25.0;350.0;0.0;0.0;0.0;3.0;;;;;;;;;;;;;{};{L};"{""Local de rangement""}";{};{Gaz};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;{};Béton;Intérieur;1975-1984;;;;Commune;;Commune;;;"{""2402"",""6302""}";Salles de pratiques collectives;43.61801, 1.27948;31417;Pibrac;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I314170002;Complexe sportif de la Castanette;Bd des écoles;31820;Pibrac;31417;1.27797;43.61832;True;Attribué;38568;44057;42212;true;42208;false;true;Complexe sportif;"{""Handicap moteur""}";{Bus};;;E008I314170002;Salle de danse + gym;2105;Salle de danse;Salle ou terrain spécialisé;validé;;;true;false;false;;true;false;false;true;false;;true;;;false;;false;false;;false;;;false;;;3.0;7.5;10.0;15.0;150.0;0.0;0.0;0.0;1.0;;;;;;;;;;;;;{};{X};"{""Local de rangement""}";{};{Electricité};Clubs sportifs, comités, ligues, fédérations;{};Parquet;Intérieur;1985-1994;;;;Commune;;Commune;;;"{""2402"",""3501""}";Salles de pratiques collectives;43.61832, 1.27797;31417;Pibrac;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I314170007;Physic Club;19 Avenue François Vendier;31820;Pibrac;31417;1.27739;43.62403;True;Attribué;38568;44057;42212;false;42209;true;false;;{};{};;;E001I314170007;Salle haltérophilie;2116;Salle d'haltérophilie;Salle ou terrain spécialisé;validé;;;true;false;true;;true;false;true;true;false;;false;;;false;;false;false;;false;;;false;;;;3.0;9.0;10.0;90.0;0.0;0.0;0.0;2.0;;;;;;;;;;;1973;;{Sauna};{};"{Buvette,""Local de rangement""}";{};{Gaz};Individuel(s), famille(s);{};Synthétique (hors gazon);Intérieur;1965-1974;;;;Etablissement privé commercial;;Association(s);;;"{""3601""}";Salles de pratiques collectives;43.62403, 1.27739;31417;Pibrac;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I314170007;Physic Club;19 Avenue François Vendier;31820;Pibrac;31417;1.27739;43.62403;True;Attribué;38568;44057;42212;false;42209;true;false;;{};{};;;E002I314170007;Salle de gym loisir;801;Salle de cours collectifs;Equipement d'activités de forme et de santé;validé;;;true;false;true;;true;false;true;true;false;;false;;;false;;false;false;;false;;;false;;;;3.0;10.0;15.0;150.0;0.0;0.0;0.0;2.0;;;;;;;;;;;1987;;{Sauna};{};"{Buvette,""Local de rangement""}";{};{Gaz};Individuel(s), famille(s);{};Parquet;Intérieur;1985-1994;;;;Etablissement privé commercial;;Association(s);;;"{""3501""}";Salles de pratiques collectives;43.62403, 1.27739;31417;Pibrac;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
