Identifiant arrêté,rnb_ids,match_reason
2021-01--ligne2,MGD276QX15SY,precise_address_match
2021-02--ligne3,"2XHY8CBZEQ26,3H4PGM3PHYRK,8KBKZJSJ4YYZ,8M6DTZY1AAR7,CX451EKE9XZD,DGS4B94M27AH,E5VQE6KXBBS7,EJFAYE6PSNED,K8FVD55JHBRV,RSQH193ASHCG,RZ1RJKJP4DYZ,T137Z98RYCY7,V83YGZE7N7Q5",precise_address_match
2021-03--ligne4,T2DCZ9QQ2BGE,precise_address_match
2021-04--ligne5,GY2T99DCC471,precise_address_match
2021-05--ligne6,DM629P43R8RA,precise_address_match
2021-08--ligne7,"7WV9541Z38DH,D2C8WD9HX2E2",precise_address_match
2021-09--ligne8,ADESDHZ7TVJG,precise_address_match
2021-10--ligne9,"4CHN8GFJH1BT,VK4WHYX853S3",precise_address_match
2021-11--ligne10,29XCJ6DZE56T,precise_address_match
2021-12--ligne11,BBEVYFPTFF32,precise_address_match
2021-13--ligne12,T6A45ZYKJSXE,precise_address_match
2021-15--ligne13,"2XHY8CBZEQ26,3H4PGM3PHYRK,8KBKZJSJ4YYZ,8M6DTZY1AAR7,CX451EKE9XZD,DGS4B94M27AH,E5VQE6KXBBS7,EJFAYE6PSNED,K8FVD55JHBRV,RSQH193ASHCG,RZ1RJKJP4DYZ,T137Z98RYCY7,V83YGZE7N7Q5",precise_address_match
2021-16--ligne14,ZQT9JRR2W4H8,precise_address_match
2021-17--ligne15,MAGJXS74AXZ7,precise_address_match
2021-18--ligne16,ZPZ76JTCYN8M,precise_address_match
2021-19--ligne17,"AP8KP6TG25YY,E8BCFVJ51KTB",precise_address_match
2021-20--ligne18,"32N6SR2BP7G5,3KPVX8NFYHD7",precise_address_match
2021-21--ligne19,,
2021-22--ligne20,,
2021-23--ligne21,"PFSDBQH87GEM,R3TQGMS4KC8A",precise_address_match
2021-24--ligne22,3T2CTZNWKF67,precise_address_match
2021-29--ligne23,,
2021-33--ligne24,"AJQE1J4CY3D8,VPT4MB8XTBJQ",precise_address_match
2021-34--ligne25,T4WYXP4GX71M,precise_address_match
2021-35--ligne26,BBEVYFPTFF32,precise_address_match
2021-36--ligne27,T39DPB3K3C8Y,precise_address_match
2021-37--ligne28,TT73SQJFS599,precise_address_match
2021-38--ligne29,AEPFNV4NGNKP,precise_address_match
2021-39--ligne30,JB53257BWCAF,precise_address_match
2021-43--ligne31,P25QEXQWSJG9,precise_address_match
2021-44--ligne32,J7QJSR6YDJYA,precise_address_match
2021-45--ligne33,,
2021-47--ligne34,"8JXYZ2HS9FK7,KPBPS2XPFZH8",precise_address_match
2021-48--ligne35,"126FMY377SZ9,28ADJBVRCD9P,2SSGRBNDA3C2,5JX1W1DFDBE5,81CMVHADEN28,8WMHMKCM3897,9K1Y8S34T53S,9YXDMBDS2XE5,9ZM273Z6E36A,CGR92RY42ACY,CJJ1FA4X448T,D4Y8T2FNXC6H,DECH3E9E6QXJ,E2FDK7YMD65T,E7WZP45A25GT,G5FMFV65GBWG,H267MTHYJ8YX,JFS6AWV1D1E4,QQ21TSY8TC9V,VP49QC57457G,WCVSAQEDTRAF,XPH2VTG7VBGE,YWCFXNYB7824",precise_address_match
2021-50--ligne36,C54TYGY1JQZH,precise_address_match
2021-51--ligne37,"1BPF67SEBGA4,2XM5T6YXRXT9,VP8Y9988ZNQW",precise_address_match
2021-53--ligne38,"5NP96TD6G6ZX,8JT8JXWJ4A2Q",precise_address_match
2021-54--ligne39,8QQPD5T1BN7G,precise_address_match
2021-55--ligne40,"126FMY377SZ9,28ADJBVRCD9P,2SSGRBNDA3C2,5JX1W1DFDBE5,81CMVHADEN28,8WMHMKCM3897,9K1Y8S34T53S,9YXDMBDS2XE5,9ZM273Z6E36A,CGR92RY42ACY,CJJ1FA4X448T,D4Y8T2FNXC6H,DECH3E9E6QXJ,E2FDK7YMD65T,E7WZP45A25GT,G5FMFV65GBWG,H267MTHYJ8YX,JFS6AWV1D1E4,QQ21TSY8TC9V,VP49QC57457G,WCVSAQEDTRAF,XPH2VTG7VBGE,YWCFXNYB7824",precise_address_match
2021-56--ligne41,"G8JS2H3D4S9C,W7E6TA5BAKWT,ZH9NRG5T3WQA",precise_address_match
2021-58--ligne42,YMGFMR29VXS3,precise_address_match
2021-62--ligne43,"1XDPJ8NAK7K6,1ZF7DP9NSCK6,2Z28ZCT4PQQS,4MKX7GKDMATR,5VJQ1X112WVF,78H11ABK5F56,7CMAQ95E7VPS,7VM5F4FKQ2Z1,9K94EVJRYKSD,A2D1H7XY8X9D,EB8VWXQ62X6T,F25F21HHDSAP,HPDAZ3ZKZSDX,HQGW1KSWC6PK,HR4SSQMB7SGY,JF55M7BHB6JS,KJ1D7F3RM152,KM5SE1YSC6QN,KRQYPRX8K6HP,MKA4M6K68F6Y,Q7FZ76K1CAHC,QWBX64PH2Z2X,RWRK94B2JTRV,SCYMTRWBF4BR,T8WNP5JWPKSZ,W9SX22ZSVZQE,XQS5N8E2CXKY,Z1HNEP81BVBT,ZAGBQRNMKJ7S",precise_address_match
2021-64--ligne44,,
2021-67--ligne45,,
2021-68--ligne46,,
2021-74--ligne47,"DSAR8K8MWNNG,WH5SJBM65N6W",precise_address_match
2021-75--ligne48,2NJPKCPVBY32,precise_address_match
2021-78--ligne49,"H6FDX4MF3SRH,QWPV6E8SJZMW",precise_address_match
2021-79--ligne50,"5317ERGHMDTT,9KDY4CGGRD51",precise_address_match
2022-114--ligne51,DVFRS7VKKRRH,precise_address_match
2022-127--ligne52,5E4R5MJZG8X5,precise_address_match
2022-01--ligne53,4QB7WK4BE2HT,precise_address_match
2022-02--ligne54,4QB7WK4BE2HT,precise_address_match
2022-03--ligne55,T4WYXP4GX71M,precise_address_match
2022-04--ligne56,,
2022-05--ligne57,"DJJ56JY3ARKA,PFFM2GG2YT3Q,WTWT6GMBSPYA",precise_address_match
2022-06--ligne58,,
2022-07--ligne59,,
2022-08--ligne60,CEPD35NP4M78,precise_address_match
2022-09--ligne61,CEPD35NP4M78,precise_address_match
2022-10--ligne62,"9Y9MK8WQ9C8Y,FF13VMTSH698,H27EBB7P62SF,JCV6C7DJ96YM,VC6SABGAY2K2",precise_address_match
2022-11--ligne63,AJ4M1DS67SA6,precise_address_match
2022-12--ligne64,,
2022-13--ligne65,1PEABG4EK95E,precise_address_match
2022-15--ligne66,,
2022-16--ligne67,,
2022-17--ligne68,"5317ERGHMDTT,9KDY4CGGRD51",precise_address_match
2022-18--ligne69,,
2022-19--ligne70,"2SP1KQQKBE2F,MSEGVNHS7D3W",precise_address_match
2022-20--ligne71,SJ3QYBXDMS25,precise_address_match
2022-21--ligne72,HB1SQ1DVJKZ2,precise_address_match
2022-22--ligne73,Q6J3RG9F2DM1,precise_address_match
2022-23--ligne74,"65PRGM9NQTJR,XJHY1B48X6A9",precise_address_match
2022-24--ligne75,"KJ8M9K14YW3P,V532Z6VTQX98",precise_address_match
2022-25--ligne76,"2GG237REV7SG,5GSP27JGJ77X",precise_address_match
2022-26--ligne77,,
2022-27--ligne78,WJYHJ9TCNS18,precise_address_match
2022-29--ligne79,,
2022-30--ligne80,AJ4M1DS67SA6,precise_address_match
2022-31--ligne81,7XMG1R6Z923G,precise_address_match
2022-32--ligne82,G3NH1S9BA82A,precise_address_match
2022-34--ligne83,,
2022-35--ligne84,HYPB7AFQDRQK,precise_address_match
2022-36--ligne85,,
2022-38--ligne86,AJV8MTASFVKY,precise_address_match
