ID_BATI;LIBELLE_BATI;NUMERO_ADRESSE;ADRESSE;COMPLEMENT_ADRESSE;CODE_POSTAL;COMMUNE;CODE_INSEE;COORD_X_L93;COORD_Y_L93
89;CIBOURE - Permanence SDSEI (Turnaco);13;rue François Turnaco; ;64500;CIBOURE;64189;322044.93;6264832.09
125;LAGOR - Laboratoire (Ecoles);88;rue des Ecoles; ;64150;LAGOR;64301;404204.27;6261906.92
3;ANGLET - Antenne SDSEI (Belle Marion);2;avenue Belle Marion; ;64600;ANGLET;64024;334620.88;6276665.86
16;ARETTE - Office tourisme (Maison de la Pierre); ;Soum Couy; ;64570;ARETTE;64040;394394.39;6215895.42
29;ARZACQ-ARRAZIGUET - Permanence SDSEI (L'Arribet); ;Chemin de l'Arribet; ;64410;ARZACQ-ARRAZIGUET;64063;424284.48;6276824.61
41;BAYONNE - Gendarmerie (Vital Biraben);7;avenue Vital Biraben; ;64100;BAYONNE;64102;337385.37;6274450.78
42;BAYONNE - SDSEI (Mounédé);25;avenue de Mounédé; ;64100;BAYONNE;64102;339492.1;6276906.4
54;BIDART - Permanence SDSEI (Ttinka); ;rue Berrua; ;64210;BIDART;64125;328680.05;6270735.59
55;BIDART - ENS Plage d'Erretegia (Erretegia Nord); ;Erretegia Nord; ;64210;BIDART;64125;328506.96;6271523.22
68;BIZANOS - ADAPEI Le Clos fleuri (Larribau); ;Chemin Larribau; ;64320;BIZANOS;64132;429564.1;6250502.15
73;BOUCAU - ENS Forêt de Pichepaou (Castaings); ;rue Jean-Baptiste Castaings; ;64340;BOUCAU;64140;338127.09;6281379.6
82;CARDESSE - Maison d'habitation (Broucas); ;Chemin Broucas; ;64360;CARDESSE;64165;408910.69;6246836.63
96;ESPELETTE - Permanence SDSEI (Mairie);145;Karrika Nagusia; ;64250;ESPELETTE;64213;339471.96;6259156.48
2;AHETZE - Permanence SDSEI (Mairie);1;place Mattin Trecu; ;64210;AHETZE;64009;329767.41;6266998.51
122;JURANÇON - Collège Ernest Gabard (Henri IV);43;avenue Henri IV; ;64110;JURANÇON;64284;425195.06;6248648.39
135;LARUNS - Collège des Cinq Monts (Aiga-Bera); ;Rue d'Aiga Bera; ;64440;LARUNS;64320;420738.18;6216003.45
148;LESCAR - Permanence SDSEI (Rozier); ;Rue Henri Rozier; ;64230;LESCAR;64335;421594.22;6254159.76
149;LONS - CDEF Foyer maternel (Lanot);1;chemin du Lanot; ;64140;LONS;64348;423992.71;6253177.54
162;MAZERES-LEZONS - Permanence SDSEI (Mendès-France); ;place Mendès-France; ;64110;MAZÈRES-LEZONS;64373;427498.22;6247815.22
176;MOURENX - Antenne SDSEI (Dréau);1;avenue de Monein; ;64150;MOURENX;64410;405964.06;6258817.89
188;OLORON-SAINTE-MARIE - Collège Tristan Derême (Mitterrand); ;Boulevard François Mitterrand; ;64400;OLORON-SAINTE-MARIE;64422;405395.72;6238441.5
201;PAU - Antenne SDSEI (Ossau);11;avenue d'Ossau; ;64000;PAU;64445;426804.86;6249606.21
215;PAU - Collège Jeanne d'Albret (Lauriers); ;Avenue des Lauriers; ;64000;PAU;64445;428654.54;6250486.32
227;PAU - Préfecture (Clémenceau);2;rue du Marcéhal Joffre; ;64000;PAU;64445;426464.34;6249953.08
240;PONTIACQ-VIELLEPINTE - Permanence SDSEI (Lac); ;Chemin du Lac; ;64460;PONTIACQ-VIELLEPINTE;64454;452613.45;6256415.38
252;SAINT-JEAN-PIED-DE-PORT - Collège de la Citadelle (Mendiguren); ;Chemin de la Citadelle;Mendiguren;64220;SAINT-JEAN-PIED-DE-PORT;64485;355620.13;6238448.74
277;SIMACOURBE - Dépôt (Perbos); ;quartier Perbos;RD943;64350;SIMACOURBE;64524;445664.59;6265785.09
1;ACCOUS - Antenne UTD (RD 834); ;RD 83434; ;64490;ACCOUS;64006;405685.12;6215752.21
15;ARETTE - Gare ski de fond (Chalet Braca); ;L'Arre de bas et de Lahour; ;64570;ARETTE;64040;394636.2;6216676.44
4;ANGLET - CDEF Foyers maternel et de l'enfance (Hardoy);96;rue de Hardoy; ;64600;ANGLET;64024;336177.93;6276423.93
5;ANGLET - CDEF Point rencontre (Iduskian);6;impasse de la Plaine; ;64600;ANGLET;64024;336178.24;6276383.62
6;ANGLET- Collège Endarra (Bernain);5;avenue Eugène Bernain; ;64600;ANGLET;64024;335091.67;6275280.98
7;ARAMITS - Antenne UTD (RD 133); ;Route d'Arette; ;64570;ARAMITS;64029;396540.38;6231667.85
8;ARAUX - Antenne UTD (Plaine);9;route de la Plaine; ;64190;ARAUX;64033;391729.37;6257651.6
10;ARCANGUES - Permanence SDSEI (Mairie); ;Le Bourg;Mairie;64200;ARCANGUES;64038;333975.28;6270181.78
11;ARETTE - Centre de déneigement (La-Pierre-Saint-Martin); ;La Pierre Saint Martin; ;64570;ARETTE;64040;394004.27;6216239.43
12;ARETTE - Collège du Barétous (RD 918); ;Route d'Issor;RD918;64570;ARETTE;64040;397524.02;6228832.45
