ext_id,rnb_ids,match_reason
89,['SX8G756YRG6S'],point_on_bdg
125,['CWTZSA3Y5S3C'],point_on_bdg
3,['3P7PQJE4M1NV'],point_on_bdg
16,['QDZHKQFATX74'],point_on_bdg
29,['KEP27BK3BCPS'],point_on_bdg
41,['PPBX6HPMM19M'],point_on_bdg
42,['68VSAV1JNGHJ'],point_on_bdg
54,['Q2MC9CF4GFHC'],point_on_bdg
55,['B8GZPHA89S2C'],point_on_bdg
68,[],
73,['JNYMS9D9ZKY5'],point_on_bdg
82,['MRBN7MNHS44G'],isolated_closest_bdg
96,['PZ5P1J28GPNB'],point_on_bdg
2,['WPHDFRP1AN79'],point_on_bdg
122,['EBY3FSKA9TB5'],point_on_bdg
135,['EEPHNGTT2FS2'],point_on_bdg
148,['4T2Z69XZ3E7V'],point_on_bdg
149,[],
162,['8TGKQSTH45FX'],point_on_bdg
176,['KM8DWK6DAY2W'],isolated_closest_bdg
188,['QY3BNFCASBCZ'],point_on_bdg
201,['4BSPGS3VPDQY'],precise_address_match
215,['SN53A116JRPZ'],point_on_bdg
227,['9Q272ZDEX5QN'],point_on_bdg
240,['BK1ASNNJ4467'],point_on_bdg
252,['GWCRBXT1BF49'],point_on_bdg
277,['HY5YBKTVX517'],point_on_bdg
1,['D7CKY3JWVNHR'],point_on_bdg
15,['EVJS914MT19D'],point_on_bdg
4,['1ZYSJQGCR1J4'],point_on_bdg
5,['75H6F3YXBXYW'],point_on_bdg
6,['NX2A6R2D36Z4'],point_on_bdg
7,['ADH666B2FV38'],point_on_bdg
8,['6YHKBBTY1NB5'],point_on_bdg
10,['ZYXM4CJ92K1B'],point_on_bdg
11,['6HV6858DM4R6'],point_on_bdg
12,['4Q55KTN4K1W7'],point_on_bdg
13,['56W7RS8HS3RB'],point_on_bdg
14,[],
17,['P782EMTJWCMX'],point_on_bdg
18,['NKN8G2JDSC1X'],point_on_bdg
19,['4HEHTG6BMQTQ'],point_on_bdg
20,['R3NXTAQRENK8'],point_on_bdg
21,['EYHQ7BNDY5PT'],point_on_bdg
22,['4M99DCA98CS3'],point_on_bdg
23,['55C7NPWWYA1Q'],point_on_bdg
24,['XBN3SSCQJP5X'],point_on_bdg
25,['BKBH8742CQQ9'],point_on_bdg
26,['1BBEM3ZFANBN'],point_on_bdg
27,['P2GNV1RVDG6V'],point_on_bdg
28,[],
30,['F4GKTC912MZ4'],point_on_bdg
31,['PRGRP889P56P'],point_on_bdg
32,['RSVPSF456Y5X'],point_on_bdg
33,['E8APNV9Z8FXZ'],point_on_bdg
34,['18Z8ZR7CAMRE'],point_on_bdg
35,['69MX7Z21M62M'],point_on_bdg
36,['CZKFPA7DBF22'],point_on_bdg
37,[],
38,['9ACXV1CDY745'],point_on_bdg
39,['42YDK4DKTA82'],point_on_bdg
128,['M6DYB38YRARQ'],point_on_bdg
40,['D7T3WRQXYGEH'],point_on_bdg
43,['66MJY2P5KVAG'],point_on_bdg
44,['HEFFHX8NTX4M'],point_on_bdg
45,[],
46,['7Y2V5CDBPYNN'],point_on_bdg
47,['81SGDFJWKD6X'],point_on_bdg
48,['7Y9WAGWX8F22'],point_on_bdg
49,"['EW8P2NEGBP1P', 'YK15DVT6W4BF', 'YEZHTDZY8T2M', 'W5Z1V59ADG5W']",precise_address_match
50,['V4M655FVV1RW'],point_on_bdg
51,['TR1BJXWX742C'],point_on_bdg
52,['46R94EX38JMM'],point_on_bdg
53,['BPECMHXDHE17'],point_on_bdg
56,['53S4ZM8FS3K7'],point_on_bdg
57,['5GSZ455CJ9ZG'],point_on_bdg
59,['A4C14GV5DYED'],point_on_bdg
60,['E81EBEWFC67G'],precise_address_match
61,['MFMWATNGCT33'],point_on_bdg
62,['MWGFPWARF3XG'],point_on_bdg
63,"['AEEKSFZV8CMV', 'J7TD1NP8J64G', 'M4HV7W7SSVJM']",precise_address_match
64,['91BWWWR8SY3J'],point_on_bdg
65,['CQFM83JMCFZC'],point_on_bdg
80,[],
67,['XM75NBGTEB6X'],point_on_bdg
69,['6KXWDGPBFV3C'],point_on_bdg
70,['Q3PKRDRHKY2E'],point_on_bdg
72,['XQ8SAD4B3WNV'],isolated_closest_bdg
74,['H3DC7EYY8ESC'],point_on_bdg
75,['8JZB6YNEFRB3'],point_on_bdg
76,['D73WQFAVWZXC'],point_on_bdg
77,['GTNGFZYPBDMV'],isolated_closest_bdg
