row_ext_id,row_name,row_lat,row_lng,match_rnb_id,match_reason,match_distance
"67FaBFy52D743.299552,5.370533",EHESS - École des hautes études en sciences sociales APPARTEMENT CHERCHEURS,43.299552,5.370533,CMW3492ZA5EZ,precise_address_match,2.94759139
"C7B2938j5s249.8372970363346,3.3001807278",Université d'Amiens – Picardie Jules Verne POLE UNIVERSITAIRE DE SAINT-QUENTIN - PUSQ - BAT PRINCIPAL,49.8372970363346,3.3001807278,44FDY128TDFJ,precise_address_match,3.1364647
"A8Fb6c8j5s249.8364994744319,3.30044945043",Université d'Amiens – Picardie Jules Verne POLE UNIVERSI DE SAINT-QUENTIN - PUSQ - PLATEFORME TECHNIQUE,49.8364994744319,3.30044945043,44FDY128TDFJ,precise_address_match,5.79736315
"6bd5cC90I5444.837567,-0.576191",Université Bordeaux Bibliothèque  pluridisciplinaire,44.837567,-0.576191,1JA4NJAKCQBE,precise_address_match,19.90450091
"D02D8490I5444.662928,-1.163335",Université Bordeaux J5 Ponts et chausssées,44.662928,-1.163335,HP47GBC24RR1,precise_address_match,18.48117377
"874841FvH4k45.76475,3.083848",Université Clermont Auvergne UCA_PONCILLON,45.76475,3.083848,TQ5GN8RMBMHM,precise_address_match,7.121837
"874841K4lR345.76475,3.083848",Université Clermont Auvergne UCA_PONCILLON,45.76475,3.083848,TQ5GN8RMBMHM,precise_address_match,7.121837
"faF8F2RdQr748.850962,2.591069",IPG - Institut de physique du globe de Paris IPGP - Immeuble Prométhée,48.850962,2.591069,HVCY1TYWPP3H,precise_address_match,9.34222225
"A8Ca173Z5e648.836705,2.585834",UGE - Université Gustave Eiffel Cafétéria IUT occupée par le CROUS,48.836705,2.585834,EGPNTN4V8KXQ,precise_address_match,9.61295131
"A8Ca179Y8CD48.836705,2.585834",UGE - Université Gustave Eiffel Cafétéria IUT occupée par le CROUS,48.836705,2.585834,EGPNTN4V8KXQ,precise_address_match,9.61295131
"7c2585vb71K48.776815,2.376381",Université Paris Est Créteil Val-de-Marne BÂTIMENT RT,48.776815,2.376381,ECQQWZVGK3VR,precise_address_match,12.13401377
"299cD1vb71K48.776996,2.375997",Université Paris Est Créteil Val-de-Marne BÂTIMENT - CHIMIE,48.776996,2.375997,ECQQWZVGK3VR,precise_address_match,14.68491968
"Ff54bBLr94O46.806725,4.413986",Université Bourgogne Franche Comté IUT CREUSOT TC,46.806725,4.413986,MYHABNGDKBK7,precise_address_match,14.85401931
"93b160Lr94O46.806725,4.413986",Université Bourgogne Franche Comté IUT CREUSOT MP,46.806725,4.413986,MYHABNGDKBK7,precise_address_match,14.85401931
"dBB9B1Lr94O46.806725,4.413986",Université Bourgogne Franche Comté IUT CREUSOT HALL TECH,46.806725,4.413986,MYHABNGDKBK7,precise_address_match,14.85401931
"dA813bLr94O46.806725,4.413986",Université Bourgogne Franche Comté IUT CREUSOT LOGEMENT,46.806725,4.413986,MYHABNGDKBK7,precise_address_match,14.85401931
"533b25F2yh245.19319087,5.762837277",Université Grenoble Alpes PHITEM E (LIPHY),45.19319087,5.762837277,JPXCNW582Z3S,precise_address_match,9.11310947
"533b25Y7ch745.19319087,5.762837277",Université Grenoble Alpes PHITEM E (LIPHY),45.19319087,5.762837277,JPXCNW582Z3S,precise_address_match,9.11310947
"D74dfbyH19Y50.7262800878867,1.6050812305",Université du Littoral CENTRE UNIVERSITAIRE SAINT LOUIS BATIMENT 2,50.7262800878867,1.6050812305,ZMGSFXQHGA6F,precise_address_match,16.07636342
"aD37a91I7hJ43.61044,3.86618","Montpellier-III ""Université Paul Valery"" CENTRE SAINT LOUIS",43.61044,3.86618,Y5M5H39BFBBZ,precise_address_match,7.07983638
